what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320101114039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320101138507
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320101141611
activated,view,org.eclipse.scout.sdk.ui,3.7.0.201106070527,"org.eclipse.scout.sdk.ui.internal.view.outline.ScoutExplorerPart",1320101145290
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320101147427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320101148519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320101149611
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320101151827
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320101151889
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1320101152388
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1320101152482
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1320101152482
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1320101152482
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1320101152482
stopped,bundle,org.eclipse.scout.sdk.ui,3.7.0.201106070527,"org.eclipse.scout.sdk.ui",1320101152482
stopped,bundle,org.eclipse.scout.sdk,3.7.0.201106070527,"org.eclipse.scout.sdk",1320101152482
stopped,bundle,org.eclipse.scout.nls.sdk,3.7.0.201106070527,"org.eclipse.scout.nls.sdk",1320101152482
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20110508,"org.eclipse.pde.runtime",1320101152482
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1320101152482
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110516,"org.eclipse.pde.ui.templates",1320101152482
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1320101152482
